Topic,token0,token1,token2,token3,token4,token5,token6,token7,token8,token9
0,income,tax,taxpayer,assessment,commissioner,taxation,assessable,profit,deduction,taxable
1,jury,trial,accuse,verdict,criminal,applicant,witness,murder,complainant,police
2,award,industrial,dispute,arbitration,conciliation,employee,employer,union,organization,industry
3,land,lease,value,owner,crown,lessee,council,rent,title,property
4,constitution,jurisdiction,federal,parliament,applicant,tribunal,minister,regulation,government,judicial
5,estate,testator,child,trust,trustee,gift,property,death,deceased,wife
6,compensation,injury,worker,damage,employer,employment,negligence,accident,loss,incapacity
7,contract,agreement,purchaser,vendor,sale,money,purchase,price,payment,clause
8,company,share,shareholder,profit,capital,dividend,director,business,asset,value
9,offence,sentence,criminal,sentencing,imprisonment,conviction,parole,offender,charge,convict
